Bharatiya Janata Party: (Delhi),Indian National Congress: (Delhi),Aam Aadmi Party: (Delhi),Bharatiya Janata Party: (Goa),Indian National Congress: (Goa),Bharatiya Janata Party: (Uttarakhand),Indian National Congress: (Uttarakhand),Bharatiya Janata Party: (Haryana),Indian National Congress: (Haryana),Bharatiya Janata Party: (Uttar Pradesh),Indian National Congress: (Uttar Pradesh),Samajwadi Party: (Uttar Pradesh),Bahujan Samaj Party: (Uttar Pradesh),Bharatiya Janata Party: (Madhya Pradesh),Indian National Congress: (Madhya Pradesh),Bharatiya Janata Party: (Jammu and Kashmir),Indian National Congress: (Jammu and Kashmir),Bharatiya Janata Party: (Chhattisgarh),Indian National Congress: (Chhattisgarh)
33,14,7,33,22,19,15,14,14,47,15,13,9,44,37,15,29,23,8
35,51,10,21,32,33,42,32,32,56,42,14,10,47,62,27,41,7,29
46,46,8,31,21,52,38,24,26,70,38,13,9,37,62,47,34,22,15
40,35,9,21,0,45,32,36,15,64,31,15,14,46,44,46,26,28,14
28,31,18,20,0,46,37,31,20,43,18,11,10,39,42,20,34,7,28
53,31,21,44,22,50,18,55,19,58,21,15,12,53,33,39,32,51,14
41,33,9,27,28,34,24,49,31,54,25,13,8,37,40,47,40,42,8
90,25,11,98,0,93,37,67,33,100,29,15,14,82,40,100,33,100,15
53,22,7,0,41,78,18,41,17,66,19,11,13,60,29,66,33,71,57
53,33,12,41,62,56,47,41,29,70,31,15,12,51,34,41,14,58,29
65,31,9,20,30,100,67,46,31,75,26,13,16,39,30,79,44,37,7
51,38,7,32,43,51,28,50,32,54,24,14,12,55,40,83,42,31,15
46,27,8,22,0,48,19,30,23,48,19,14,8,56,36,43,31,24,24
39,28,8,39,0,30,19,35,18,45,21,14,13,49,33,13,32,0,36
42,22,14,33,22,33,14,31,32,59,24,11,16,44,34,32,19,32,8
37,23,9,42,21,9,18,36,29,43,23,14,10,43,26,12,25,31,16
29,32,18,54,22,36,0,33,19,36,20,14,11,66,26,37,19,32,24
40,25,14,22,22,9,22,40,19,50,19,16,9,56,37,74,37,39,16
45,29,17,44,0,27,18,18,20,38,22,16,12,46,30,33,33,41,0
35,27,20,0,65,9,22,24,40,44,18,24,14,39,30,40,13,23,54
38,41,20,26,38,18,18,44,49,34,18,11,6,58,28,20,13,18,44
94,58,24,68,45,63,18,27,53,43,17,14,9,40,33,47,41,30,15
90,37,19,100,63,13,13,60,19,60,21,19,10,55,40,36,28,94,47
50,30,10,22,22,18,9,23,19,43,16,17,9,45,35,59,26,39,16
38,23,14,32,43,18,35,17,24,40,15,18,11,46,41,34,14,30,23
40,22,13,0,0,21,8,22,14,37,19,17,10,41,38,33,27,8,15
34,22,9,35,24,34,21,33,18,31,14,12,5,41,37,32,26,8,15
30,20,13,39,0,35,9,34,19,40,16,19,10,38,37,13,13,0,8
34,21,10,22,0,30,9,29,17,49,25,22,10,58,48,37,60,7,7
28,17,8,20,59,17,13,21,12,37,16,16,8,40,41,12,18,36,7
39,17,9,0,23,62,18,16,17,33,16,12,6,39,45,12,18,0,0
26,19,8,0,21,20,16,23,3,31,11,13,6,33,43,18,0,7,14
25,22,8,21,0,13,8,20,17,30,11,13,8,34,40,21,28,21,0
27,22,9,0,0,8,0,27,20,31,11,12,7,37,45,82,13,14,0
34,18,7,51,26,8,8,31,9,34,17,14,7,46,43,20,13,16,0
35,23,9,0,22,12,0,43,10,38,21,12,6,43,32,30,0,0,15
36,13,15,22,0,9,0,34,17,30,12,11,6,33,41,27,0,15,15
35,23,11,0,22,17,8,37,22,31,12,10,5,36,41,32,13,15,7
41,20,12,44,21,17,17,39,35,33,12,10,8,40,53,53,24,0,14
45,22,11,0,0,12,12,41,22,30,12,8,7,28,40,12,11,10,5
63,34,39,25,25,35,0,53,22,37,22,11,8,41,52,35,12,7,0
100,58,44,27,41,8,17,100,44,35,21,9,8,60,57,34,54,0,8
38,22,12,0,0,13,13,52,33,26,14,7,5,34,44,38,13,39,0
37,22,11,68,0,13,8,34,27,27,12,9,6,38,43,20,13,8,0
35,16,6,0,0,8,8,22,14,25,12,8,6,39,27,13,0,0,8
30,18,11,23,23,35,26,18,10,27,13,8,5,47,44,21,21,8,0
32,14,6,24,0,21,21,13,10,33,10,9,8,30,33,25,12,16,16
24,9,9,25,0,35,9,12,7,36,13,7,5,47,46,21,29,8,0
45,15,9,30,0,44,31,45,21,62,20,10,8,100,98,60,33,54,9
41,28,6,45,43,33,8,40,15,44,16,8,9,80,67,48,34,15,23
36,16,5,21,60,16,16,12,20,37,17,6,6,69,57,33,14,23,0
43,21,4,23,23,16,12,38,21,46,22,8,6,75,77,21,21,22,37
0.5714,0.2245,0.1837,0.5204,0.4286,0.6162,0.3131,0.5979,0.2887,0.5052,0.0619,0.1753,0.1959,0.5876,0.3505,0.4742,0.2887,0.5102,0.4082
